,Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact
0,1,Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014 2015,metad agricultural developmet ,1950 2200,guji hambela,METAD PLC,300,60 kg,METAD Agricultural Development,2014,"Apr 04, 2015",metad plc,,Washed   Wet,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,0.12,0,0.0,Green,0,"Apr 03, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
1,2,Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014 2015,metad agricultural developmet ,1950 2200,guji hambela,METAD PLC,300,60 kg,METAD Agricultural Development,2014,"Apr 04, 2015",metad plc,,Washed   Wet,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,0.12,0,0.0,Green,1,"Apr 03, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
2,3,Arabica,grounds for health admin,Guatemala,san marcos barrancas  san cris,,,,,1600   1800 m,,,5,1,Specialty Coffee Association,,"May 31, 2010",Grounds for Health Admin,Bourbon,,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,9.25,89.75,0.0,0,0.0,,0,"May 31, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d0,0878a7d4b9d35ddbf0fe2ce69a2062
3,4,Arabica,yidnekachew dabessa,Ethiopia,yidnekachew dabessa coffee pla,,wolensu,,yidnekachew debessa coffee pla,1800 2200,oromia,Yidnekachew Dabessa Coffee Pla,320,60 kg,METAD Agricultural Development,2014,"Mar 26, 2015",Yidnekachew Dabessa,,Natural   Dry,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,0.11,0,0.0,Green,2,"Mar 25, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
4,5,Arabica,metad plc,Ethiopia,metad plc,,metad plc,2014 2015,metad agricultural developmet ,1950 2200,guji hambela,METAD PLC,300,60 kg,METAD Agricultural Development,2014,"Apr 04, 2015",metad plc,,Washed   Wet,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,0.12,0,0.0,Green,2,"Apr 03, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
5,6,Arabica,ji ae ahn,Brazil,,,,,,,,,100,30 kg,Specialty Coffee Institute of ,2013,"Sep 03, 2013",Ji Ae Ahn,,Natural   Dry,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,8.33,88.83,0.11,0,0.0,Bluish Green,1,"Sep 03, 2014",Specialty Coffee Institute of ,726e4891cf2c9a4848768bd34b6681,b70da261fcc84831e3e9620c30a870
6,7,Arabica,hugo valdivia,Peru,,,hvc,,richmond investment coffee dep,,,HVC,100,69 kg,Specialty Coffee Institute of ,2012,"Sep 17, 2012",Hugo Valdivia,,Washed   Wet,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,8.5,88.75,0.11,0,0.0,Bluish Green,0,"Sep 17, 2013",Specialty Coffee Institute of ,726e4891cf2c9a4848768bd34b6681,b70da261fcc84831e3e9620c30a870
7,8,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010 0338,,1570 1700,oromia,Bazen Agricultural   Industria,300,60 kg,Ethiopia Commodity Exchange,Mar 10,"Sep 02, 2010",Ethiopia Commodity Exchange,,,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,9.0,88.67,0.03,0,0.0,,0,"Sep 02, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
8,9,Arabica,ethiopia commodity exchange,Ethiopia,aolme,,c.p.w.e,010 0338,,1570 1700,oromiya,Bazen Agricultural   Industria,300,60 kg,Ethiopia Commodity Exchange,Mar 10,"Sep 02, 2010",Ethiopia Commodity Exchange,,,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,8.67,88.42,0.03,0,0.0,,0,"Sep 02, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed,61bbaf6a9f341e5782b8e7bd3ebf76
9,10,Arabica,diamond enterprise plc,Ethiopia,tulla coffee farm,,tulla coffee farm,2014 15,diamond enterprise plc,1795 1850,"snnp kaffa zone,gimbowereda",Diamond Enterprise Plc,50,60 kg,METAD Agricultural Development,2014,"Mar 30, 2015",Diamond Enterprise Plc,,Natural   Dry,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,0.1,0,0.0,Green,4,"Mar 29, 2016",METAD Agricultural Development,309fcf77415a3661ae83e027f7e5f0,19fef5a731de2db57d16da10287413
